pos,change,title,days,peak,streams,total,artistIds
170,RE,ILLIT - Cherish (My Love),516,8,13008,7072741,36cgvBn0aadzOijnjjwqMN
171,-24,Oasis - Don't Look Back in Anger - Remastered,366,31,12991,2310313,2DaxqgrOhkeH0fpeiQq2f4
172,+10,Michael Jackson - Billie Jean,71,39,12964,1227067,3fMbdgg4jU18AjLCKBhRSm
173,-24,DAY6 - Time of Our Life -Japanese ver.- - Japanese ver.,1314,12,12963,12879916,5TnQc2N1iKlFjYD7CPGvFc
174,+24,DAVICHI - TIME CAPSULE,172,71,12817,2010540,4z6yrDz5GfKXkeQZjOaZdq
175,-45,Hearts2Hearts - The Chase,496,6,12806,8811413,1ZLU77nRzQIaP23mVSYpCQ
176,RE,GyeongseoYeji - If you lovingly call my name (w/ Jeon Gunho ),515,67,12774,1494787,5crpfIGj4lAUNuHYUY2TN9;3WFFsW6pFOm0e2yVQLTYCX
177,RE,RESCENE - Glow Up,8,147,12758,98346,5deOsjuFTKrNMJW3rKuL8S
178,RE,"HANRORO - Goodbye, My Summer",166,82,12725,2094300,5wVJpXzuKV6Xj7Yhsf2uYx
179,-10,Kenshi Yonezu - JANE DOE (w/ Hikaru Utada ),304,3,12719,9264657,1snhtMLeb2DYoMOcVbb8iB;7lbSsjYACZHn1MSDXPxNF2
180,RE,D-Hack - OHAYO MY NIGHT (w/ PATEKO ),631,14,12648,3465667,6Ycj4hhpz2nOfsYCU1gHqR;0J372uvAXbRjLFSoAVE2lp
181,RE,LE SSERAFIM - HOT,406,2,12624,7415488,4SpbR6yFEvexJuaBpgAU5p
182,-67,HEEDAE - Let It Go (w/ C JAMM ),5,53,12560,88095,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR
183,+4,Dhruv - double take,1728,30,12546,10659452,70NcAr4ZtA3FAqU16iQZSb
184,-20,Justin Bieber - DAISIES,247,16,12480,4352168,1uNFoZAHBGtllmzznpCI3s
185,-7,BIGBANG - Sunset Glow,255,50,12474,2550821,4Kxlr1PRlDKEB0ekOCyHgX
186,-10,imase - NIGHT DANCER,533,5,12467,4875806,4TaSvnT5o4REFwhqfrmK27
187,RE,Jung Kook - 3D (w/ Jack Harlow ),1005,2,12353,29928361,6HaGTQPmzraVmaVxvz6EUc;2LIk90788K0zvyj2JJVwkJ
188,-9,SPYAIR - サムライハート(Some Like It Hot!!),518,92,12351,4380225,7gRg6C2qgQ1F01k3sgyEVt
189,RE,San E - Story of someone I know,6,178,12346,75226,61MMiylth1injW39oZBuYB
190,RE,Sung Si Kyung - HeeJae,2,190,12302,23841,7jFUYMpMUBDL4JQtMZ5ilc
191,-1,Vaundy - 踊り子,926,14,12272,9701792,2IUl3m1H1EQ7QfNbNWvgru
192,RE,izna - SIGN,118,49,12248,1235069,6EB5QC7lGAu7bSuWQ416d4
193,-1,DAY6 - You Were Beautiful,1075,24,12228,11456308,5TnQc2N1iKlFjYD7CPGvFc
194,RE,freestyle - Y (Please Tell Me Why),72,123,12216,921560,0LigV2SSsRZaeX2htEFXV9
195,-6,ILLIT - Lucky Girl Syndrome,714,7,12209,6844845,36cgvBn0aadzOijnjjwqMN
196,-10,Tim - 사랑합니다...,169,59,12197,1953702,1H0rJYjO99jtsKOtaXmYTY
197,RE,The Walters - I Love You So,728,58,12151,4719517,027TpXKGwdXP7iwbjUSpV8
198,RE,"PATEKO - Rainy day (Feat. ASH ISLAND, Skinny Brown) (w/ ASH ISLAND , Skinny Brown )",673,53,12137,2254858,0J372uvAXbRjLFSoAVE2lp;7IEhlwWQA7pCkEvzwwHehE;0E0fq98DMHhkAgiXWpCViX
199,-2,natori - プロポーズ,193,95,12079,2300755,6WmXWHmfBMhupyIs8MSqtu
200,-1,Lim Young Woong - A Song For Us,311,49,12075,4560565,75MOYjGEyyH5U4ZFHOPvxR
